D2C1EDFC-9084-3FF2-B737-565E67FA59C9
1) 79419598D0733AA9BC988F218BB762, 50p, 30j (13-11-6), 19s (65-46)
2) 0BB3306548493FEDA97E1B468FF039, 49p, 25j (14-7-4), 15s (50-35)
3) 66407DDFF9EA30B693CC7071A4F367, 44p, 26j (13-5-8), 17s (55-38)
4) 5568770C7C673AE9A7231A93715E96, 44p, 27j (12-8-7), 7s (52-45)
5) F7AC8A93FD9A30DA81B84223C3EAA5, 39p, 24j (11-6-7), 6s (50-44)
6) CDF9011D074F3DBE8B7D3FD247D36D, 35p, 25j (10-5-10), 5s (49-44)
7) 959AB5A86C0F37BB8EBD4AAC94311A, 35p, 23j (9-8-6), 3s (51-48)
8) 5D91D7EA979C3AE4A332163946B7B6, 33p, 21j (10-3-8), 6s (53-47)
9) E085F7C272763E749BC153DA1B2C5A, 31p, 25j (8-7-10), -8s (47-55)
10) 96D97042B5BE3582A4DA09BBDE685D, 30p, 23j (9-3-11), -1s (52-53)
11) 91EFF88F53673D46B06B38A2B7DCD7, 29p, 14j (9-2-3), 10s (34-24)
12) 5BC8C8170F4F37AC8A64E425409DAF, 29p, 24j (8-5-11), -4s (53-57)
13) DB758EB49A243ED29FB9D9D3E8F71B, 25p, 20j (8-1-11), -4s (35-39)
14) B73A89FF867E38FF9E6285FCD89D80, 23p, 18j (6-5-7), -1s (28-29)
15) BE11F7DB0ED739ACACE0F23FE2AA2D, 23p, 20j (6-5-9), -11s (36-47)
16) 01C516BE65EA387D8C36AE2033A9AF, 23p, 25j (6-5-14), -16s (39-55)
17) 050E9F00AFC332DBBFEE36D3EEEE4E, 20p, 28j (5-5-18), -33s (39-72)
18) EDA4BCC10DBB3BABB951573F76FF2D, 16p, 20j (3-7-10), -10s (32-42)

D2FFFAD1-8BAC-33F9-B076-2C7DAC47A0BC
1) 2A4D617C8A1E3764A08FBADB6DD44D, 178p, 112j (52-22-38), 27s (239-212)
2) D2440BD6502F3636990888F628D34C, 162p, 110j (47-21-42), -3s (204-207)
3) 68BDA0F3846A365EBBFEA8F2686793, 155p, 111j (44-23-44), 16s (238-222)
4) F9071833850A34B0B785E153160139, 147p, 91j (43-18-30), 38s (195-157)
5) 680CD01D5CA033AA8E4DEAE156E531, 146p, 100j (40-26-34), 16s (193-177)
6) B14D5F9B0E2435AC84742B2B0EE843, 142p, 92j (39-25-28), 24s (173-149)
7) A283D07C8DAE35A5864003BE180E7D, 131p, 88j (39-14-35), 16s (197-181)
8) ABA27622DE27373C9C9C2F6FCF4829, 129p, 89j (38-15-36), 4s (162-158)
9) A2756E76366330FF8308C2E2E16EEA, 127p, 87j (36-19-32), 9s (190-181)
10) 2FE05E7D28F73085995106C14B9D0C, 125p, 101j (35-20-46), -28s (193-221)
11) 0A27DFE08AA736E88EAC1EAD11A7D0, 123p, 87j (33-24-30), -3s (174-177)
12) 3812DF4754EE3885BDCB35E9B424FB, 122p, 89j (34-20-35), -18s (157-175)
13) B4FE646DC7FB3AFFB0CA4B7396D554, 121p, 92j (37-10-45), -21s (166-187)
14) F636FB52662F3686A2CF9EF883F4A2, 121p, 88j (35-16-37), -1s (183-184)
15) C9FD3684412D3E819EA3012BB2C206, 118p, 84j (33-19-32), -6s (154-160)
16) 9688A02B076A3B36BCBC743E821A28, 114p, 83j (30-24-29), 0s (157-157)
17) FA7CE69B3DB73E3094BDCA69A4E863, 106p, 102j (28-22-52), -32s (179-211)
18) C3584EF2511730BCAC95F55282CC02, 99p, 74j (27-18-29), 4s (148-144)
19) 290906A968873EE9B87D687DCAC437, 97p, 79j (28-13-38), -21s (150-171)
20) 63086062CD7A360795D9424FA6E8CB, 91p, 73j (24-19-30), -21s (123-144)

C746D902-9AE5-33D3-BF25-7CB11AD8890A
1) E504EB7CDE573F86BA7907D9FCB723, 8p, 5j (2-2-1), 5s (15-10)
2) 1D681928DF14360284FF8500577C68, 6p, 4j (2-0-2), 2s (12-10)
3) A1F4EAB2CC233782B97ECB3B2AE7E2, 6p, 4j (2-0-2), 0s (10-10)
4) F1CB5A4B87FB3642A088EFAF4ECB62, 6p, 5j (1-3-1), -2s (10-12)
5) 7D716D45C6EE399C80A2F5CBD5C55A, 4p, 3j (1-1-1), -1s (4-5)
6) 3EE06A5868F63DACA94BE890952BB4, 2p, 3j (0-2-1), -4s (2-6)
7) 619448E83BCB3A87A75263B6203156, 1p, 1j (0-1-0), 0s (1-1)
8) F78586C9C5983443A0C8F6FFBB029D, 1p, 1j (0-1-0), 0s (0-0)
9) DDAEFB9A72203625A6E74F972D1FE5, 0p, 0j (0-0-0), 0s (0-0)

219D5320-EB6F-31C5-9DCC-74803E9C77F7
1) 239F8B2569DE343F9ADBC3856D8596, 70p, 42j (20-10-12), 24s (96-72)
2) AD6C44D500D23F709C97AB7FB405D5, 70p, 43j (19-13-11), 16s (105-89)
3) A78AC312C5FE3BAE825EB4AC760E60, 68p, 47j (21-5-21), 13s (93-80)
4) AF37A2210964342BA614713CBB6CD4, 66p, 36j (20-6-10), 16s (80-64)
5) D5643B4C40B33D4798D8B3C191E55E, 64p, 36j (19-7-10), 25s (95-70)
6) 200565982804334CA893FD04954236, 63p, 32j (19-6-7), 23s (70-47)
7) 3AA61C2336F830F59B42D3625A2FC3, 63p, 43j (19-6-18), 5s (93-88)
8) 2A522722F6B83DC3AB23AF54CA3A98, 63p, 47j (19-6-22), -11s (96-107)
9) 3A84D6578EBD37DAA611A292FC2756, 59p, 44j (17-8-19), 2s (82-80)
10) A27D2A93E2813906AB7EED57361AFE, 58p, 37j (17-7-13), 6s (74-68)
11) 3DA2AD95E9413F04B4E2CB244F8C76, 56p, 43j (17-5-21), -5s (85-90)
12) FEB242CD2EF2386CB98B79E3884387, 52p, 39j (15-7-17), -12s (71-83)
13) BDBBDBDD62A13B14AA9BE12CDF8728, 51p, 31j (16-3-12), 15s (82-67)
14) 426AD4CDB1033F67A753E51AE3D494, 48p, 38j (14-6-18), -11s (61-72)
15) A42A050EE909327EBCAA5C2B5EDA2A, 46p, 40j (11-13-16), -13s (75-88)
16) 0455C624F0373358A5D6FCD9F83B68, 45p, 39j (13-6-20), -13s (77-90)
17) EDDC10A533333275BAF4A8CACE36B1, 44p, 41j (14-2-25), -26s (73-99)
18) 070F41A87DDD31A3BA0E556CBD2A3D, 43p, 26j (13-4-9), 5s (53-48)
19) 200A8A203D1B3CCFBA50826B825881, 43p, 31j (13-4-14), -5s (48-53)
20) EB35CEDFDDE3350A8C039D637B6F76, 38p, 37j (11-5-21), -27s (66-93)
21) 5E0821C1F9BC3DD4A8F68DB407596B, 33p, 27j (9-6-12), -11s (46-57)
22) 62D4399D510C365DA8A818D7966706, 33p, 33j (8-9-16), -16s (49-65)

2301E752-F939-34D4-9573-FB8E51677CB4
1) 0CEA9921AB54326096279E8FA87D5F, 115p, 67j (34-13-20), 23s (148-125)
