Torneio 30 x 1000
1) lgfqliokftkbgdqrehswegwvifabea, 2475p, 1670j (804-63-803), 103s (15922-15819)
2) rbpwicrpbacqrkqhfbxtlatmfubnav, 120p, 71j (40-0-31), 53s (726-673)
3) xzpxcstqpoelfdopvkbezbqplaykzh, 104p, 71j (34-2-35), -25s (686-711)
4) sspfyynkghsjtiqfiahntalpoctjal, 97p, 65j (31-4-30), -23s (663-686)
5) rxybckgdagbgfqlutedzrifzinedtu, 84p, 61j (28-0-33), -62s (581-643)
6) xrsbjnfbzzfcgrfgmflstzjfekhwlk, 84p, 62j (27-3-32), -46s (545-591)
7) iunldifqdtvirlhjotbawctuybfaql, 0p, 0j (0-0-0), 0s (0-0)
8) kzhmjhicrbqglgjiczxpwqiliddoiz, 0p, 0j (0-0-0), 0s (0-0)
9) wnezrlnsjfvideronlearxgvscbmdm, 0p, 0j (0-0-0), 0s (0-0)
10) bkzybckqbhtbyhjwxnfdujxahrfrps, 0p, 0j (0-0-0), 0s (0-0)
11) kkhmqlaepkdmqfvckdyxkduvshkrvp, 0p, 0j (0-0-0), 0s (0-0)
12) ndpihccdtofasufummzziqaiymdxny, 0p, 0j (0-0-0), 0s (0-0)
13) dyberiqhjlxqqoruheeajyvhhsppht, 0p, 0j (0-0-0), 0s (0-0)
14) plndmiuradswkhmzubpvpecwnpcoyd, 0p, 0j (0-0-0), 0s (0-0)
15) dsklfzgegesxhscsomstrshxsdqsmn, 0p, 0j (0-0-0), 0s (0-0)
16) iaqglfrycsfsswyalsqpvlqkzeckuv, 0p, 0j (0-0-0), 0s (0-0)
17) kgpkrrwmcnkudenqsuzpccqhwttcwq, 0p, 0j (0-0-0), 0s (0-0)
18) dbwlghntdvhvwqdpdjtzltooknrzwg, 0p, 0j (0-0-0), 0s (0-0)
19) qwqzdterssbexalszilstsndwreqih, 0p, 0j (0-0-0), 0s (0-0)
20) romqqxkjezdqpyyhzqnyanbawdzxlb, 0p, 0j (0-0-0), 0s (0-0)
21) eezwvqjtnfgyizmldiyjfuzrloxfcz, 0p, 0j (0-0-0), 0s (0-0)
22) izymrzsfoudrrntqogiyitflmelvml, 0p, 0j (0-0-0), 0s (0-0)
23) tqxosyyyfijhntbtuastoizsshcdsh, 0p, 0j (0-0-0), 0s (0-0)
24) pfyqgfkhrzxuncrhnwsrujudvzbgzn, 0p, 0j (0-0-0), 0s (0-0)
25) jyrubrripyyfyolfeyoojdznyflrex, 0p, 0j (0-0-0), 0s (0-0)
26) zyzzcpbntmdguxlozwgikovwvwdrda, 0p, 0j (0-0-0), 0s (0-0)
27) frphquwibhyzfxwsqsxxzdfirzhsjd, 0p, 0j (0-0-0), 0s (0-0)
28) hpgtwtjigxozurgwsqyfwogyjqzhlb, 0p, 0j (0-0-0), 0s (0-0)
